ベンダ,GRAPHTEC Corporation
モデル,GL900
バージョン,Ver2.09
測定間隔,2ms
測定点数,453         
トリガ点,1                    
開始時刻,2015-10-05,14:24:04
終了時刻,2015-10-05,14:24:04
トリガ時刻,2015-10-05,14:24:04
アンプ設定
CH,信号名,入力,レンジ,フィルタ,スパン
CH1, " CH 1",TEMP,TC_K,Off,300.000,-100.000,ﾟC
CH2, " CH 2",DC,1-5V,Off,401.000,1.000,kPa
CH3, " CH 3",DC,10V,Off,114.300,0.000,ml
Logic/Pulse,Off
XY1,On,CH3,CH2
XY2,Off,CH1,CH3
XY3,Off,CH1,CH1
XY4,Off,CH1,CH1

測定値
番号,日付,時間,us,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Alarm,AlarmOut
NO.,Date,Time,us,ﾟC,kPa,ml,,,,,
1,2015/10/05,14:24:04,000000,+25.6,+102.4,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
2,2015/10/05,14:24:04,002000,+25.3,+102.2,+59.97,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
3,2015/10/05,14:24:04,004000,+25.9,+102.2,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
4,2015/10/05,14:24:04,006000,+25.6,+102.4,+60.01,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
5,2015/10/05,14:24:04,008000,+25.2,+102.4,+60.02,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
6,2015/10/05,14:24:04,010000,+25.6,+102.4,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
7,2015/10/05,14:24:04,012000,+24.9,+102.2,+60.02,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
8,2015/10/05,14:24:04,014000,+25.2,+102.3,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
9,2015/10/05,14:24:04,016000,+24.9,+102.2,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
10,2015/10/05,14:24:04,018000,+25.7,+102.2,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
11,2015/10/05,14:24:04,020000,+25.7,+102.2,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
12,2015/10/05,14:24:04,022000,+25.7,+102.4,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
13,2015/10/05,14:24:04,024000,+25.3,+102.2,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
14,2015/10/05,14:24:04,026000,+25.8,+102.4,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
15,2015/10/05,14:24:04,028000,+25.3,+102.3,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
16,2015/10/05,14:24:04,030000,+25.7,+102.3,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
17,2015/10/05,14:24:04,032000,+25.0,+102.4,+59.97,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
18,2015/10/05,14:24:04,034000,+25.4,+102.4,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
19,2015/10/05,14:24:04,036000,+25.1,+102.2,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
20,2015/10/05,14:24:04,038000,+25.6,+102.2,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
21,2015/10/05,14:24:04,040000,+25.7,+102.2,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
22,2015/10/05,14:24:04,042000,+25.4,+102.3,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
23,2015/10/05,14:24:04,044000,+25.4,+102.4,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
24,2015/10/05,14:24:04,046000,+24.9,+102.4,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
25,2015/10/05,14:24:04,048000,+25.4,+102.3,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
26,2015/10/05,14:24:04,050000,+25.1,+102.1,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
27,2015/10/05,14:24:04,052000,+25.1,+102.5,+60.01,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
28,2015/10/05,14:24:04,054000,+25.1,+102.4,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
29,2015/10/05,14:24:04,056000,+25.6,+102.4,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
30,2015/10/05,14:24:04,058000,+25.6,+102.2,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
31,2015/10/05,14:24:04,060000,+25.6,+102.2,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
32,2015/10/05,14:24:04,062000,+25.4,+102.4,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
33,2015/10/05,14:24:04,064000,+25.6,+102.4,+59.97,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
34,2015/10/05,14:24:04,066000,+25.1,+102.2,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
35,2015/10/05,14:24:04,068000,+25.1,+102.2,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
36,2015/10/05,14:24:04,070000,+25.6,+102.4,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
37,2015/10/05,14:24:04,072000,+24.9,+102.4,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
38,2015/10/05,14:24:04,074000,+25.6,+102.5,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
39,2015/10/05,14:24:04,076000,+25.1,+102.3,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
40,2015/10/05,14:24:04,078000,+25.8,+102.2,+60.01,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
41,2015/10/05,14:24:04,080000,+25.4,+102.2,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
42,2015/10/05,14:24:04,082000,+26.1,+102.5,+59.96,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
43,2015/10/05,14:24:04,084000,+25.4,+102.4,+59.97,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
44,2015/10/05,14:24:04,086000,+25.4,+102.2,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
45,2015/10/05,14:24:04,088000,+25.3,+102.2,+59.96,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
46,2015/10/05,14:24:04,090000,+25.4,+102.4,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
47,2015/10/05,14:24:04,092000,+25.0,+102.3,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
48,2015/10/05,14:24:04,094000,+25.1,+102.2,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
49,2015/10/05,14:24:04,096000,+25.1,+102.1,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
50,2015/10/05,14:24:04,098000,+25.5,+102.4,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
51,2015/10/05,14:24:04,100000,+25.4,+102.4,+60.02,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
52,2015/10/05,14:24:04,102000,+25.6,+102.4,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
53,2015/10/05,14:24:04,104000,+25.3,+102.5,+60.02,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
54,2015/10/05,14:24:04,106000,+25.1,+102.5,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
55,2015/10/05,14:24:04,108000,+25.1,+102.4,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
56,2015/10/05,14:24:04,110000,+25.4,+102.5,+60.01,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
57,2015/10/05,14:24:04,112000,+25.6,+102.1,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
58,2015/10/05,14:24:04,114000,+25.1,+102.5,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
59,2015/10/05,14:24:04,116000,+25.6,+102.2,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
60,2015/10/05,14:24:04,118000,+25.1,+102.3,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
61,2015/10/05,14:24:04,120000,+25.4,+102.4,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
62,2015/10/05,14:24:04,122000,+25.5,+102.3,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
63,2015/10/05,14:24:04,124000,+25.4,+102.2,+60.01,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
64,2015/10/05,14:24:04,126000,+25.1,+102.3,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
65,2015/10/05,14:24:04,128000,+25.4,+102.3,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
66,2015/10/05,14:24:04,130000,+25.2,+102.2,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
67,2015/10/05,14:24:04,132000,+25.4,+102.3,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
68,2015/10/05,14:24:04,134000,+25.4,+102.2,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
69,2015/10/05,14:24:04,136000,+25.5,+102.4,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
70,2015/10/05,14:24:04,138000,+25.6,+102.3,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
71,2015/10/05,14:24:04,140000,+25.6,+102.2,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
72,2015/10/05,14:24:04,142000,+25.7,+102.2,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
73,2015/10/05,14:24:04,144000,+25.4,+102.3,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
74,2015/10/05,14:24:04,146000,+25.6,+102.5,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
75,2015/10/05,14:24:04,148000,+25.3,+102.2,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
76,2015/10/05,14:24:04,150000,+25.7,+102.3,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
77,2015/10/05,14:24:04,152000,+25.1,+102.2,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
78,2015/10/05,14:24:04,154000,+25.6,+102.2,+59.97,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
79,2015/10/05,14:24:04,156000,+25.3,+102.2,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
80,2015/10/05,14:24:04,158000,+25.1,+102.2,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
81,2015/10/05,14:24:04,160000,+25.4,+102.2,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
82,2015/10/05,14:24:04,162000,+25.6,+102.3,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
83,2015/10/05,14:24:04,164000,+25.6,+102.2,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
84,2015/10/05,14:24:04,166000,+25.9,+102.2,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
85,2015/10/05,14:24:04,168000,+25.7,+102.4,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
86,2015/10/05,14:24:04,170000,+25.2,+102.3,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
87,2015/10/05,14:24:04,172000,+25.0,+102.6,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
88,2015/10/05,14:24:04,174000,+25.7,+102.2,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
89,2015/10/05,14:24:04,176000,+25.6,+102.4,+59.97,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
90,2015/10/05,14:24:04,178000,+25.7,+102.4,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
91,2015/10/05,14:24:04,180000,+25.7,+102.5,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
92,2015/10/05,14:24:04,182000,+25.4,+102.2,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
93,2015/10/05,14:24:04,184000,+25.8,+102.2,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
94,2015/10/05,14:24:04,186000,+25.1,+102.2,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
95,2015/10/05,14:24:04,188000,+25.4,+102.2,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
96,2015/10/05,14:24:04,190000,+25.1,+102.5,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
97,2015/10/05,14:24:04,192000,+25.6,+102.4,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
98,2015/10/05,14:24:04,194000,+25.3,+102.4,+60.01,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
99,2015/10/05,14:24:04,196000,+25.6,+102.4,+59.97,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
100,2015/10/05,14:24:04,198000,+25.5,+102.2,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
101,2015/10/05,14:24:04,200000,+25.7,+102.3,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
102,2015/10/05,14:24:04,202000,+25.4,+102.2,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
103,2015/10/05,14:24:04,204000,+25.5,+102.2,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
104,2015/10/05,14:24:04,206000,+25.3,+102.3,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
105,2015/10/05,14:24:04,208000,+25.4,+102.4,+60.01,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
106,2015/10/05,14:24:04,210000,+25.8,+102.3,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
107,2015/10/05,14:24:04,212000,+25.2,+102.2,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
108,2015/10/05,14:24:04,214000,+25.9,+102.4,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
109,2015/10/05,14:24:04,216000,+24.9,+102.3,+60.01,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
110,2015/10/05,14:24:04,218000,+26.0,+102.4,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
111,2015/10/05,14:24:04,220000,+25.2,+102.3,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
112,2015/10/05,14:24:04,222000,+25.7,+102.5,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
113,2015/10/05,14:24:04,224000,+25.1,+102.1,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
114,2015/10/05,14:24:04,226000,+25.4,+102.5,+59.97,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
115,2015/10/05,14:24:04,228000,+25.1,+102.2,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
116,2015/10/05,14:24:04,230000,+25.1,+102.5,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
117,2015/10/05,14:24:04,232000,+25.6,+102.4,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
118,2015/10/05,14:24:04,234000,+25.1,+102.4,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
119,2015/10/05,14:24:04,236000,+25.2,+102.2,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
120,2015/10/05,14:24:04,238000,+25.7,+102.2,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
121,2015/10/05,14:24:04,240000,+25.6,+102.3,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
122,2015/10/05,14:24:04,242000,+25.7,+102.4,+59.97,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
123,2015/10/05,14:24:04,244000,+26.1,+102.2,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
124,2015/10/05,14:24:04,246000,+25.3,+102.3,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
125,2015/10/05,14:24:04,248000,+25.7,+102.4,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
126,2015/10/05,14:24:04,250000,+24.8,+102.2,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
127,2015/10/05,14:24:04,252000,+25.5,+102.2,+60.02,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
128,2015/10/05,14:24:04,254000,+25.1,+102.4,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
129,2015/10/05,14:24:04,256000,+25.4,+102.2,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
130,2015/10/05,14:24:04,258000,+25.5,+102.4,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
131,2015/10/05,14:24:04,260000,+25.6,+102.2,+60.02,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
132,2015/10/05,14:24:04,262000,+25.7,+102.3,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
133,2015/10/05,14:24:04,264000,+25.4,+102.4,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
134,2015/10/05,14:24:04,266000,+25.3,+102.2,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
135,2015/10/05,14:24:04,268000,+25.3,+102.4,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
136,2015/10/05,14:24:04,270000,+25.4,+102.3,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
137,2015/10/05,14:24:04,272000,+25.1,+102.4,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
138,2015/10/05,14:24:04,274000,+25.4,+102.3,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
139,2015/10/05,14:24:04,276000,+25.3,+102.3,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
140,2015/10/05,14:24:04,278000,+25.6,+102.3,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
141,2015/10/05,14:24:04,280000,+25.6,+102.3,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
142,2015/10/05,14:24:04,282000,+25.4,+102.4,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
143,2015/10/05,14:24:04,284000,+25.3,+102.2,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
144,2015/10/05,14:24:04,286000,+25.6,+102.2,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
145,2015/10/05,14:24:04,288000,+25.0,+102.5,+59.96,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
146,2015/10/05,14:24:04,290000,+25.5,+102.3,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
147,2015/10/05,14:24:04,292000,+25.3,+102.4,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
148,2015/10/05,14:24:04,294000,+25.4,+102.3,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
